Rk,Player,age,proPic,WS,salary,projSalary
139,Spencer Dinwiddie\dinwisp01,28,,4.1,$9166800,$9603360
140,Donte DiVincenzo\divindo01,25,,0.7,$12213507,$12372008
141,Luka Dončić\doncilu01,22,,7.6,$9000000,$9666667
142,Luguentz Dort\dortlu01,22,,1.4,$8992200,$9441720
143,Ayo Dosunmu\dosunay01,22,,3,$8800000,$9240000
144,Damyean Dotson\dotsoda01,27,,0,$8750000,$9398148
145,Devon Dotson\dotsode01,22,,0.1,$8750000,$9000000
146,Sekou Doumbouya\doumbse01,21,,0.1,$8730159,
147,Jeff Dowtin\dowtije01,24,,0,$34967442,$36596549
148,PJ Dozier\doziepj01,25,,0.3,$8678571,$9321429
149,Goran Dragić\dragigo01,35,,0.4,$8623920,$10900635
150,Andre Drummond\drumman01,28,,5.1,$8604651,$9034884
151,Chris Duarte\duartch01,24,,0.9,$8526316,
152,David Duke Jr.\dukeda01,22,,0.3,$8437500,$9062500
153,Kris Dunn\dunnkr01,27,,0.2,$8372093,$8790698
154,Kevin Durant\duranke01,33,,8.4,$8333333,$9000000
155,Jaime Echenique\echenja01,24,,0,$8326471,$29750000
156,Anthony Edwards\edwaran01,20,,4.3,$8292683,$8707317
157,Carsen Edwards\edwarca01,23,,-0.1,$8231760,$8623920
158,Kessler Edwards\edwarke02,21,,0.6,$8186047,$8558140
159,Rob Edwards\edwarro01,25,,0,$8137500,$8525000
160,CJ Elleby\ellebcj01,21,,0.4,$8075160,$8478720
161,Wayne Ellington\ellinwa01,34,,1,$8050000,$7350000
162,Joel Embiid\embiijo01,27,,12,$11109327,$7827907
163,James Ennis III\ennisja01,31,,0.1,$7775400,$9835881
164,Drew Eubanks\eubandr01,24,,3.4,$7568742,
165,Tacko Fall\fallta01,26,,0.1,$7522200,
166,Derrick Favors\favorde01,30,,1.4,$7518518,$7518518
167,Bruno Fernando\fernabr01,23,,0.4,$7500000,$8100000
168,Dorian Finney-Smith\finnedo01,28,,6.6,$7422000,$7775400
169,Malik Fitts\fittsma01,24,,0.1,$7280520,$7644720
170,Malachi Flynn\flynnma01,23,,1,$7040880,$8920795
171,Bryn Forbes\forbebr01,28,,1.4,$7009615,
172,Aleem Ford\fordal03,24,,-0.2,$7622467,$333333
173,Trent Forrest\forretr01,23,,1.3,$7000000,$7350000
174,Evan Fournier\fournev01,29,,3.7,$6984127,$7333333
175,De'Aaron Fox\foxde01,24,,2.5,$6920027,$14150000
176,Melvin Frazier\frazime01,25,,-0.4,$6720720,$7040880
177,Tim Frazier\fraziti01,31,,-0.2,$6593040,$6922440
178,Enes Freedom\kanteen01,29,,1.4,$6500000,$6000000
179,Markelle Fultz\fultzma01,23,,0.4,$6431666,
180,Wenyen Gabriel\gabriwe01,24,,0.7,$6395160,$8109063
181,Daniel Gafford\gaffoda01,23,,6,$6350000,$6667750
182,Danilo Gallinari\gallida01,33,,3.6,$6349671,
183,Langston Galloway\gallola01,30,,-0.2,$6175440,$6632880
184,Darius Garland\garlada01,22,,6.3,$6104280,$6395160
185,Marcus Garrett\garrema01,23,,0.1,$6006420,$6292440
186,Usman Garuba\garubus01,19,,0.5,$5988000,$6287400
187,Luka Garza\garzalu01,23,,0.8,$5890000,$6184500
188,Rudy Gay\gayru01,35,,2.1,$5890000,
189,Paul George\georgpa01,31,,1.3,$5890000,$6184500
190,Taj Gibson\gibsota01,36,,2.7,$5845978,
191,Josh Giddey\giddejo01,19,,0.4,$5837760,$7413955
192,Shai Gilgeous-Alexander\gilgesh01,23,,4.6,$5573334,
193,Anthony Gill\gillan01,29,,1.4,$5572680,$5837760
194,Freddie Gillespie\gillefr01,24,,0.1,$5557725,$20089286
195,Rudy Gobert\goberru01,29,,11.7,$5495532,$29750000
196,Brandon Goodwin\goodwbr01,26,,0.7,$5466360,$5739960
197,Jordan Goodwin\goodwjo01,23,,-0.1,$5421493,
198,Aaron Gordon\gordoaa01,26,,5.2,$5348280,$6803012
199,Eric Gordon\gordoer01,33,,1.4,$5333333,$5728395
200,Devonte' Graham\grahade01,26,,2.8,$5258735,$29750000
201,Jerami Grant\grantje01,27,,2.3,$5214584,
202,Hassani Gravett\graveha01,25,,0.3,$5200000,$5200000
203,Danny Green\greenda02,34,,1.9,$5178572,
204,Draymond Green\greendr01,31,,3.6,$5170564,
