Rk,MP,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
593,774,39,50,152,84,35,25,49,67,274
594,39,4,0,1,7,0,0,3,9,14
595,2094,207,110,576,155,54,65,126,171,1218
596,42,2,5,6,3,1,1,1,3,7
597,1452,54,50,170,188,93,19,45,56,342
598,19,0,0,0,3,0,0,1,1,5
599,14,3,1,2,2,0,1,0,0,5
600,21,3,0,2,4,2,1,1,4,8
601,845,23,80,128,104,54,18,52,81,322
602,2652,500,50,234,737,72,7,303,128,2155
603,706,38,85,209,49,17,20,41,84,299
604,355,38,50,75,22,8,6,19,56,140
605,1852,165,217,427,120,36,77,114,203,785
