Rk,Player,age,WS,salary,projSalary,playerTeam
384,Evan Mobley,20,5.2,76744.00,1815677.00,Cleveland Cavaliers
385,Malik Monk,23,3.6,1782621.00,,Los Angeles Lakers
386,Greg Monroe,31,0.7,1782621.00,,TOT
387,Moses Moody,19,1.3,1782621.00,,Golden State Warriors
388,Xavier Moon,27,0.3,1782621.00,1930681.00,Los Angeles Clippers
389,Matt Mooney,24,0,1782621.00,1930681.00,New York Knicks
390,Ja Morant,22,6.7,1782621.00,1930681.00,Memphis Grizzlies
391,Juwan Morgan,24,0.1,1782621.00,1930681.00,TOT
392,Jaylen Morris,26,-0.1,1782621.00,,San Antonio Spurs
393,Marcus Morris,32,2.4,1782621.00,1930681.00,Los Angeles Clippers
394,Markieff Morris,32,0.3,1782621.00,1930681.00,Miami Heat
395,Monte Morris,26,5.4,1762796.00,,Denver Nuggets
396,Emmanuel Mudiay,25,0,1762796.00,1910860.00,Sacramento Kings
397,Mychal Mulder,27,-0.2,1762769.00,,TOT
398,Ade Murkey,24,0,1729217.00,1878720.00,Sacramento Kings
399,Trey Murphy III,21,1.9,1729217.00,1878720.00,New Orleans Pelicans
400,Dejounte Murray,25,7.3,1729217.00,1878720.00,San Antonio Spurs
401,Mike Muscala,30,2.1,1729217.00,1878720.00,Oklahoma City Thunder
402,Svi Mykhailiuk,24,0.8,1729217.00,,Toronto Raptors
403,Abdel Nader,28,0,3430810.00,,Phoenix Suns
404,Larry Nance Jr.,29,2.3,1701593.00,,TOT
405,RJ Nembhard Jr.,22,0,1720779.00,,Cleveland Cavaliers
406,Aaron Nesmith,22,0.4,1701593.00,1846738.00,Boston Celtics
407,Raul Neto,29,1.5,3430810.00,,Washington Wizards
408,Malik Newman,24,0,1700000.00,1785000.00,Cleveland Cavaliers
409,Georges Niang,28,2.8,1690507.00,,Philadelphia 76ers
410,Daishen Nix,19,-0.2,1669178.00,1815677.00,Houston Rockets
411,Zeke Nnaji,21,1.8,1669178.00,1815677.00,Denver Nuggets
412,Nerlens Noel,27,1.5,1669178.00,1815677.00,New York Knicks
413,Jaylen Nowell,22,2.8,1669178.00,1815677.00,Minnesota Timberwolves
414,Frank Ntilikina,23,0.9,1669178.00,,Dallas Mavericks
415,Jusuf Nurkić,27,3.6,1669178.00,,Portland Trail Blazers
416,David Nwaba,29,1.3,1517981.00,1782621.00,Houston Rockets
417,Jordan Nwora,23,0.6,1517981.00,1782621.00,Milwaukee Bucks
418,Royce O'Neale,28,5.5,1517981.00,1782621.00,Utah Jazz
419,Semi Ojeleye,27,0.2,1517981.00,1782621.00,TOT
420,Chuma Okeke,23,2.2,1517981.00,,Orlando Magic
421,Josh Okogie,23,0.7,1517981.00,,Minnesota Timberwolves
422,Onyeka Okongwu,21,4.2,1517981.00,,Atlanta Hawks
423,Isaac Okoro,21,4.2,1517981.00,,Cleveland Cavaliers
424,KZ Okpala,22,0.5,1517981.00,1782621.00,Miami Heat
425,Victor Oladipo,29,0.4,1517981.00,1782621.00,Miami Heat
426,Cameron Oliver,25,0.2,1517981.00,,Atlanta Hawks
427,Kelly Olynyk,30,1.6,1517981.00,1782621.00,Detroit Pistons
428,Eugene Omoruyi,24,0.1,1517981.00,,Dallas Mavericks
429,Miye Oni,24,0,1517981.00,1782621.00,Utah Jazz
430,Cedi Osman,26,2.9,1517981.00,1782621.00,Cleveland Cavaliers
431,Daniel Oturu,22,0.1,1517981.00,1782621.00,Toronto Raptors
432,Kelly Oubre Jr.,26,3.3,1517981.00,1782621.00,Charlotte Hornets
433,Jaysean Paige,27,-0.1,1500000.00,1563518.00,Detroit Pistons
434,Trayvon Palmer,27,0,1500000.00,1563518.00,Detroit Pistons
435,Kevin Pangos,29,0.1,1489065.00,1752638.00,Cleveland Cavaliers
436,Jabari Parker,26,0.3,1489065.00,1752638.00,Boston Celtics
437,Eric Paschall,25,2,1625991.00,1752638.00,Utah Jazz
438,Chris Paul,36,9.4,1456666.00,,Phoenix Suns
439,Cameron Payne,27,1.9,2045094.00,,Phoenix Suns
440,Elfrid Payton,27,-0.2,1366392.00,,Phoenix Suns
441,Gary Payton II,29,5.2,4000000.00,4000000.00,Golden State Warriors
442,Norvel Pelle,28,0,1252127.00,,Utah Jazz
443,Reggie Perry,21,0.2,1250000.00,1563518.00,TOT
444,Jamorko Pickett,24,0.1,1093598.00,1815677.00,Detroit Pistons
445,Theo Pinson,26,0.4,1090007.00,,Dallas Mavericks
446,Mason Plumlee,31,4.7,1068288.00,,Charlotte Hornets
447,Jakob Poeltl,26,6.9,1062303.00,1563518.00,San Antonio Spurs
448,Aleksej Pokusevski,20,0.4,1057260.00,1563518.00,Oklahoma City Thunder
449,Yves Pons,22,0,1039080.00,,Memphis Grizzlies
450,Jordan Poole,22,6,1000000.00,1563518.00,Golden State Warriors
451,Kevin Porter Jr.,21,0.8,10720900.00,,Houston Rockets
452,Michael Porter Jr.,23,-0.2,999200.00,999200.00,Denver Nuggets
453,Otto Porter Jr.,28,4.9,958529.00,2193920.00,Golden State Warriors
454,Bobby Portis,26,5.5,925258.00,1563518.00,Milwaukee Bucks
455,Kristaps Porziņģis,26,5.6,925258.00,1563518.00,TOT
456,Micah Potter,23,0,925258.00,1563518.00,Detroit Pistons
457,Dwight Powell,30,8.2,925258.00,1563518.00,Dallas Mavericks
458,Myles Powell,24,-0.1,925258.00,1563518.00,Philadelphia 76ers
459,Norman Powell,28,2.8,925258.00,1563518.00,TOT
460,Joshua Primo,19,0,925258.00,1563518.00,San Antonio Spurs
461,Taurean Prince,27,2.2,925258.00,1563518.00,Minnesota Timberwolves
462,Payton Pritchard,24,3.1,925258.00,1563518.00,Boston Celtics
463,Trevelin Queen,24,0.1,925258.00,1563518.00,Houston Rockets
464,Neemia Queta,22,0.1,925258.00,,Sacramento Kings
465,Immanuel Quickley,22,4.2,925258.00,,New York Knicks
466,Jahmi'us Ramsey,20,-0.1,924730.00,,Sacramento Kings
467,Julius Randle,27,3.1,888616.00,2351521.00,New York Knicks
468,Austin Reaves,23,2.9,850331.00,,Los Angeles Lakers
469,Cam Reddish,22,1,785102.00,,TOT
470,Davon Reed,26,1.6,20168742.00,,Denver Nuggets
471,Paul Reed,22,1.3,705598.00,,Philadelphia 76ers
472,Naz Reid,22,3.2,705598.00,,Minnesota Timberwolves
473,Nick Richards,24,1,1290481.00,,Charlotte Hornets
474,Josh Richardson,28,3.5,666666.00,,TOT
475,Austin Rivers,29,1.2,663024.00,,Denver Nuggets
476,Duncan Robinson,27,3.9,2045094.00,,Miami Heat
477,Justin Robinson,24,-0.3,7622467.00,333333.00,TOT
478,Mitchell Robinson,23,8.5,1290481.00,,New York Knicks
479,Jeremiah Robinson-Earl,21,1.5,606702.00,,Oklahoma City Thunder
480,Isaiah Roby,23,2.9,2541217.00,,Oklahoma City Thunder
481,Rajon Rondo,35,0.7,11109327.00,7827907.00,TOT
482,Derrick Rose,33,1.4,586136.00,,New York Knicks
483,Terrence Ross,30,0.3,558345.00,,Orlando Magic
484,Terry Rozier,27,5.9,527614.00,,Charlotte Hornets
485,Ricky Rubio,31,1.3,10468119.00,,Cleveland Cavaliers
486,D'Angelo Russell,25,4.4,462629.00,,Minnesota Timberwolves
487,Matt Ryan,24,0,4107149.00,3925000.00,Boston Celtics
488,Domantas Sabonis,25,7.1,377645.00,,TOT
489,Olivier Sarr,22,1,364533.00,,Oklahoma City Thunder
490,Tomáš Satoranský,30,1,350000.00,,TOT
491,Jordan Schakel,23,-0.1,313737.00,1563518.00,Washington Wizards
492,Admiral Schofield,24,0.3,,,Orlando Magic
493,Dennis Schröder,28,2.9,292466.00,1563518.00,TOT
494,Tre Scott,25,0,290967.00,1752638.00,Cleveland Cavaliers
495,Jay Scrubb,21,0,276039.00,,Los Angeles Clippers
496,Wayne Selden,27,0,260561.00,1563518.00,New York Knicks
497,Alperen Şengün,19,2.1,8558.00,,Houston Rockets
498,Collin Sexton,23,-0.1,231062.00,1752638.00,Cleveland Cavaliers
499,Landry Shamet,24,2.6,202068.00,,Phoenix Suns
500,Day'Ron Sharpe,20,1.2,153488.00,,Brooklyn Nets
501,Pascal Siakam,27,8.1,1366392.00,,Toronto Raptors
502,Chris Silva,25,0.3,1290481.00,,TOT
503,Marko Simonovic,22,0,1290481.00,,Chicago Bulls
504,Anfernee Simons,22,1.9,1290481.00,,Portland Trail Blazers
505,Zavier Simpson,24,-0.1,924730.00,,Oklahoma City Thunder
506,Jericho Sims,23,1.5,924730.00,,New York Knicks
507,Deividas Sirvydis,21,-0.1,924730.00,,Detroit Pistons
508,Javonte Smart,22,-0.2,924730.00,,TOT
509,Marcus Smart,27,5.6,276039.00,,Boston Celtics
510,Dennis Smith Jr.,24,0.4,276039.00,,Portland Trail Blazers
511,Ish Smith,33,0.5,,,TOT
512,Jalen Smith,21,2.8,,,TOT
513,Xavier Sneed,24,0,55208.00,,TOT
514,Tony Snell,30,0.4,55208.00,,TOT
515,Jaden Springer,19,0,55208.00,,Philadelphia 76ers
516,Cassius Stanley,22,0.1,55208.00,,Detroit Pistons
517,Nik Stauskas,28,0.1,276039.00,,TOT
518,Lance Stephenson,31,0.8,924730.00,,TOT
519,Lamar Stevens,24,1.6,1625991.00,1752638.00,Cleveland Cavaliers
520,Isaiah Stewart,20,3.4,276039.00,,Detroit Pistons
521,Max Strus,25,3.6,122741.00,122741.00,Miami Heat
522,Jalen Suggs,20,-1.6,888616.00,2351521.00,Orlando Magic
523,Craig Sword,28,0.1,888616.00,2351521.00,Washington Wizards
524,Keifer Sykes,28,-0.5,888616.00,2351521.00,Indiana Pacers
525,Jae'Sean Tate,26,3,888616.00,2351521.00,Houston Rockets
526,Jayson Tatum,23,9.6,958529.00,2193920.00,Boston Celtics
527,Terry Taylor,22,2.4,958529.00,2193920.00,Indiana Pacers
528,Garrett Temple,35,0.8,958529.00,2193920.00,New Orleans Pelicans
529,Emanuel Terry,25,-0.1,2045094.00,,Phoenix Suns
530,Tyrell Terry,21,0,2045094.00,,Memphis Grizzlies
531,Jon Teske,24,0,2045094.00,,Memphis Grizzlies
532,Daniel Theis,29,1.9,2045094.00,,TOT
533,Brodric Thomas,25,0.1,,,Boston Celtics
534,Cam Thomas,20,0.8,586136.00,,Brooklyn Nets
535,Isaiah Thomas,32,0.2,586136.00,,TOT
536,Matt Thomas,27,0.6,606702.00,,Chicago Bulls
537,Klay Thompson,31,1.8,606702.00,,Golden State Warriors
538,Tristan Thompson,30,1.6,1090007.00,,TOT
539,JT Thor,19,0.3,1090007.00,,Charlotte Hornets
540,Matisse Thybulle,24,3.7,1068288.00,,Philadelphia 76ers
541,Killian Tillie,23,0.6,100000.00,1752638.00,Memphis Grizzlies
542,Xavier Tillman Sr.,23,1.8,1762796.00,,Memphis Grizzlies
543,Isaiah Todd,20,-0.2,1762796.00,,Washington Wizards
544,Obi Toppin,23,3.9,1762796.00,,New York Knicks
545,Juan Toscano-Anderson,28,2,1762796.00,,Golden State Warriors
546,Karl-Anthony Towns,26,10.3,1762796.00,,Minnesota Timberwolves
547,Gary Trent Jr.,23,5.6,705598.00,,Toronto Raptors
548,P.J. Tucker,36,5,705598.00,,Miami Heat
549,Rayjon Tucker,24,0.4,29814.00,1878720.00,TOT
550,Myles Turner,25,3.1,29814.00,1878720.00,Indiana Pacers
551,Jonas Valančiūnas,29,7.3,,,New Orleans Pelicans
552,Denzel Valentine,28,0.2,705598.00,,TOT
553,Jarred Vanderbilt,22,6,705598.00,,Minnesota Timberwolves
554,Fred VanVleet,27,6.7,29814.00,1878720.00,Toronto Raptors
555,Devin Vassell,21,3.3,,,San Antonio Spurs
556,Gabe Vincent,25,2.5,29814.00,1878720.00,Miami Heat
557,Nikola Vučević,31,4.5,,,Chicago Bulls
558,Dean Wade,25,2.3,,,Cleveland Cavaliers
559,Franz Wagner,20,4,,,Orlando Magic
560,Moritz Wagner,24,2.8,1720779.00,,Orlando Magic
561,Ish Wainright,27,0.6,1720779.00,,Phoenix Suns
562,Kemba Walker,31,1.8,,,New York Knicks
563,Lonnie Walker IV,23,1.2,,,San Antonio Spurs
564,M.J. Walker,23,0,19186.00,1815677.00,Phoenix Suns
565,Tyrone Wallace,27,-0.1,19186.00,1815677.00,New Orleans Pelicans
566,Derrick Walton,26,-0.2,,,Detroit Pistons
567,Brad Wanamaker,32,0,850331.00,,TOT
568,Duane Washington Jr.,21,0,,,Indiana Pacers
569,P.J. Washington,23,3.4,28779.00,1815677.00,Charlotte Hornets
570,YUtah Jazz Watanabe,27,0.7,,,Toronto Raptors
571,LIndiana Pacersy Waters III,24,0.8,28779.00,1815677.00,Oklahoma City Thunder
572,Tremont Waters,24,0,,,TOT
573,Trendon Watford,21,1.9,,,Portland Trail Blazers
574,Paul Watson,27,0,92857.00,92857.00,Oklahoma City Thunder
575,Quinndary Weatherspoon,25,0.2,290967.00,1752638.00,Golden State Warriors
576,Russell Westbrook,33,1.7,290967.00,1752638.00,Los Angeles Lakers
577,Coby White,21,2.4,290967.00,1752638.00,Chicago Bulls
578,Derrick White,27,5.1,231062.00,1752638.00,TOT
579,Hassan Whiteside,32,5.8,231062.00,1752638.00,Utah Jazz
580,Joe Wieskamp,22,0.1,1625991.00,1752638.00,San Antonio Spurs
581,Aaron Wiggins,23,1.2,1625991.00,1752638.00,Oklahoma City Thunder
582,Andrew Wiggins,26,5.1,100000.00,1752638.00,Golden State Warriors
583,Lindell Wigginton,23,0.2,,,Milwaukee Bucks
584,Brandon Williams,22,-0.5,,,Portland Trail Blazers
585,Grant Williams,23,5.1,1517981.00,1782621.00,Boston Celtics
586,Kenrich Williams,27,1.8,,,Oklahoma City Thunder
587,Lou Williams,35,0.6,,,Atlanta Hawks
588,Patrick Williams,20,0.9,76744.00,1815677.00,Chicago Bulls
589,Robert Williams,24,9.9,58493.00,,Boston Celtics
590,Ziaire Williams,20,2.2,55208.00,,Memphis Grizzlies
591,D.J. Wilson,25,0.4,,,Toronto Raptors
592,Dylan Windler,25,0.8,,,Cleveland Cavaliers
593,Justise Winslow,25,0.8,,,TOT
594,Cassius Winston,23,0,,,Washington Wizards
595,Christian Wood,26,4.9,,,Houston Rockets
596,Robert Woodard II,22,-0.1,,,Sacramento Kings
597,Delon Wright,29,3.6,,,Atlanta Hawks
598,McKinley Wright IV,23,0,,,Minnesota Timberwolves
599,Moses Wright,23,0.1,462629.00,,TOT
600,Gabe York,28,0,,,Indiana Pacers
601,Thaddeus Young,33,2.2,,,TOT
602,Trae Young,23,10,,,Atlanta Hawks
603,Omer Yurtseven,23,2.1,,,Miami Heat
604,Cody Zeller,29,1.1,,,Portland Trail Blazers
605,Ivica Zubac,24,7.2,,,Los Angeles Clippers
