Rk,Player,age,WS,salary,projSalary,playerTeam
64,Tony Bradley,24,1.3,18218818.00,19568360.00,Chicago Bulls
65,Ignas Brazdeikis,23,0.5,18139535.00,19046512.00,Orlando Magic
66,Mikal Bridges,25,8.9,18125000.00,19375000.00,Phoenix Suns
67,Miles Bridges,23,7.2,18000000.00,18000000.00,Charlotte Hornets
68,Oshae Brissett,23,2.2,18000000.00,18000000.00,Indiana Pacers
69,Malcolm Brogdon,29,2.7,17905263.00,21486316.00,Indiana Pacers
70,Armoni Brooks,23,0.2,17809524.00,,TOT
71,Dillon Brooks,26,1.6,17500000.00,18796296.00,Memphis Grizzlies
72,Bruce Brown,25,4.8,17400000.00,17400000.00,Brooklyn Nets
73,Charlie Brown Jr.,24,0,17357143.00,18642857.00,TOT
74,Chaundee Brown Jr.,23,0,17142857.00,18000000.00,TOT
75,Greg Brown III,20,0.4,17103448.00,18206897.00,Portland Trail Blazers
76,Jaylen Brown,25,5.8,17073171.00,17926829.00,Boston Celtics
77,Moses Brown,22,1.2,16500000.00,16500000.00,TOT
78,Sterling Brown,26,0.8,16409091.00,19690909.00,Dallas Mavericks
79,Troy Brown Jr.,22,1.4,16071429.00,17357143.00,Chicago Bulls
80,Jalen Brunson,25,7.5,16000000.00,16000000.00,Dallas Mavericks
81,Thomas Bryant,24,1.1,16000000.00,17280000.00,Washington Wizards
82,Shaq Buchanan,25,0,15690909.00,16475454.00,Memphis Grizzlies
83,Reggie Bullock,30,3.2,15627907.00,16372093.00,Dallas Mavericks
84,Trey Burke,29,0,15560000.00,16902000.00,Dallas Mavericks
85,Alec Burks,30,6.1,15517242.00,16758621.00,New York Knicks
86,Jared Butler,21,0.4,15428571.00,16571429.00,Utah Jazz
87,Jimmy Butler,32,9.2,15384615.00,16615385.00,Miami Heat
88,Devontae Cacok,25,0.5,15178571.00,16392857.00,San Antonio Spurs
89,Kentavious Caldwell-Pope,28,2.8,15057692.00,,Washington Wizards
90,Facundo Campazzo,30,2,14391964.00,15458035.00,Denver Nuggets
91,Vlatko Čančar,24,0.4,14339285.00,16607142.00,Denver Nuggets
92,Devin Cannady,25,0.1,14320988.00,13000000.00,Orlando Magic
93,Clint Capela,27,8.3,14190000.00,,Atlanta Hawks
94,Vernon Carey Jr.,20,0.1,14000000.00,14700000.00,TOT
95,Jevon Carter,26,1.2,14000000.00,,TOT
96,Wendell Carter Jr.,22,5,13750000.00,13750000.00,Orlando Magic
97,Alex Caruso,27,2,13666667.00,14317459.00,Chicago Bulls
98,Willie Cauley-Stein,28,0.2,13445120.00,14520730.00,TOT
99,Ahmad Caver,25,0,13302325.00,13906976.00,Indiana Pacers
100,Justin Champagnie,20,0.8,13038862.00,14004703.00,Toronto Raptors
101,Zylan Cheatham,26,-0.1,13000000.00,13000000.00,Utah Jazz
102,Chris Chiozza,26,0,12975471.00,,Golden State Warriors
103,Marquese Chriss,24,0.8,12727273.00,13745455.00,Dallas Mavericks
104,Josh Christopher,20,0.3,12690000.00,,Houston Rockets
105,Gary Clark,27,0.7,12632950.00,,New Orleans Pelicans
106,Brandon Clarke,25,6.3,12500000.00,11500000.00,Memphis Grizzlies
107,Jordan Clarkson,29,3.5,12420000.00,13340000.00,Utah Jazz
108,Nic Claxton,22,3.5,12200000.00,11400000.00,Brooklyn Nets
109,Amir Coffey,24,3.8,12195122.00,12804878.00,Los Angeles Clippers
110,John Collins,24,5.1,12000000.00,12600000.00,Atlanta Hawks
111,Zach Collins,24,1.2,12000000.00,12960000.00,San Antonio Spurs
112,Darren Collison,34,-0.1,12000000.00,,Los Angeles Lakers
113,Mike Conley,34,6.7,11615328.00,12196094.00,Utah Jazz
114,Pat Connaughton,29,4.4,11312114.00,,Milwaukee Bucks
115,Tyler Cook,24,0.5,11000000.00,11550000.00,Chicago Bulls
116,Sharife Cooper,20,-0.2,11000000.00,11814815.00,Atlanta Hawks
117,Petr Cornelie,26,0,10733400.00,13534817.00,Denver Nuggets
118,DeMarcus Cousins,31,1.6,10690909.00,9672727.00,TOT
119,Robert Covington,31,3.2,10500000.00,,TOT
120,Torrey Craig,31,2.3,10384500.00,11215260.00,TOT
121,Jae Crowder,31,4.3,10384500.00,11215260.00,Phoenix Suns
122,Jarrett Culver,22,0.1,10245480.00,10733400.00,Memphis Grizzlies
123,Jarron Cumberland,24,0,10174391.00,35700000.00,Portland Trail Blazers
124,Cade Cunningham,20,-0.5,10050120.00,10552800.00,Detroit Pistons
125,Seth Curry,31,4.2,10468119.00,,TOT
126,Stephen Curry,33,8,10000000.00,10000000.00,Golden State Warriors
127,Anthony Davis,28,4.5,9937150.00,,Los Angeles Lakers
128,Ed Davis,32,0.5,9742000.00,,Cleveland Cavaliers
129,Terence Davis,24,0.5,9720900.00,10183800.00,Sacramento Kings
130,Gabriel Deck,26,0.1,9720900.00,10183800.00,Oklahoma City Thunder
131,Dewayne Dedmon,32,3.5,10720900.00,,Miami Heat
132,Sam Dekker,27,0,9720900.00,,Toronto Raptors
133,Javin DeLaurier,23,0,9720900.00,,Milwaukee Bucks
134,DeMar DeRozan,32,8.8,9603360.00,12119440.00,Chicago Bulls
135,Mamadi Diakite,25,0.3,9536000.00,10012800.00,Oklahoma City Thunder
136,Cheick Diallo,25,0.1,9536000.00,10012800.00,Detroit Pistons
137,Hamidou Diallo,23,2.1,9500000.00,10260000.00,Detroit Pistons
138,Gorgui Dieng,32,1.2,9180560.00,23437500.00,Atlanta Hawks
139,Spencer Dinwiddie,28,4.1,9166800.00,9603360.00,TOT
